participant_id	cvlt-long_corr	cvlt-long_incorr	cvlt-long_RT
sub-pp006	1.0	0.0	2131.699999988079
sub-pp006	1.0	0.0	3661.200000047684
sub-pp006	1.0	0.0	2541.800000011921
sub-pp006	1.0	0.0	2261.699999988079
sub-pp006	1.0	0.0	2908.199999988079
sub-pp006	1.0	0.0	1739.5
sub-pp006	1.0	0.0	1902.800000011921
sub-pp006	1.0	0.0	1715.5999999642372
sub-pp006	1.0	0.0	1803.2999999523165
sub-pp006	1.0	0.0	1766.7999999523165
sub-pp006	1.0	0.0	1616.399999976158
sub-pp006	1.0	0.0	1882.4000000357628
sub-pp006	1.0	0.0	1494.699999988079
sub-pp006	1.0	0.0	1451.5999999642372
sub-pp006	1.0	0.0	2004.7999999523165
sub-pp006	1.0	0.0	1839.0999999642368
sub-pp006	1.0	0.0	1616.800000011921
sub-pp006	1.0	0.0	2341.0
sub-pp006	1.0	0.0	1674.399999976158
sub-pp006	1.0	0.0	1681.7999999523165
sub-pp006	1.0	0.0	1946.699999988079
sub-pp006	1.0	0.0	1811.0
sub-pp006	1.0	0.0	1645.300000011921
sub-pp006	1.0	0.0	1774.7000000476835
sub-pp006	1.0	0.0	1818.1000000238416
sub-pp006	1.0	0.0	1709.399999976158
sub-pp006	1.0	0.0	1667.100000023842
sub-pp006	1.0	0.0	1652.4000000357628
sub-pp006	1.0	0.0	1903.800000011921
sub-pp006	1.0	0.0	1667.0
sub-pp006	1.0	0.0	1947.5
sub-pp006	1.0	0.0	1559.0
sub-pp006	1.0	0.0	1997.200000047684
sub-pp006	1.0	0.0	2593.300000011921
sub-pp006	1.0	0.0	1746.5999999642372
sub-pp006	1.0	0.0	1702.199999988079
sub-pp006	1.0	0.0	1868.1000000238416
sub-pp006	1.0	0.0	1695.699999988079
sub-pp006	1.0	0.0	1882.199999988079
sub-pp006	1.0	0.0	1639.100000023842
sub-pp006	1.0	0.0	1558.199999988079
sub-pp006	1.0	0.0	4021.099999964237
sub-pp006	1.0	0.0	1696.600000023842
sub-pp006	1.0	0.0	1646.699999988079
